layer,head,mean_logprob_delta,n_obs
31,27,-0.0310233882715987,102
22,26,-0.009158979597353156,102
26,9,-0.008444472510411609,102
27,29,-0.008044100026194535,102
13,8,-0.007413388325037922,102
19,27,-0.006299878320319027,102
17,28,-0.005008050662934015,102
12,24,-0.00256374603225586,102
17,15,-0.0021098136028776223,102
28,10,-0.0016919189611590078,102
12,29,-0.001557226750041902,102
7,31,-0.001450062058331562,102
15,25,-0.0012671422042892706,102
14,22,-0.0010965325494301699,102
31,13,-0.0010354607757331086,102
23,1,-0.0009419041578564479,102
24,26,-0.0008393743818951229,102
25,23,-0.0008225935007475546,102
9,28,-0.0006208793020942169,102
27,25,-0.0005849718896819931,102
12,6,-0.0005405850772069029,102
23,18,-0.0004613215976583959,102
26,5,-0.000387109812414101,102
23,10,-0.00036408556621502023,102
25,27,-0.00028095454178012503,102
21,14,-0.00018240728480782754,102
16,15,-0.0001539729211630152,102
22,7,-0.0001442796883254107,102
28,8,-0.00014233307838010516,102
27,9,-0.00013271824546595156,102
29,16,-9.163382598368723e-05,102
26,22,-2.198736167072496e-05,102
